"Gene","AUC"
"ENSG00000293170",0.821428571428572
"ENSG00000293404",0.821428571428572
"ENSG00000296998",0.821428571428572
"ENSG00000297165",0.821428571428572
"ENSG00000303906",0.821428571428572
"ENSG00000307066",0.821428571428572
"ENSG00000308388",0.821428571428572
"ENSG00000309524",0.821428571428572
"ENSG00000038382",0.821428571428571
"ENSG00000082438",0.821428571428571
"ENSG00000099866",0.821428571428571
"ENSG00000099889",0.821428571428571
"ENSG00000099998",0.821428571428571
"ENSG00000100151",0.821428571428571
"ENSG00000102362",0.821428571428571
"ENSG00000105492",0.821428571428571
"ENSG00000111218",0.821428571428571
"ENSG00000122126",0.821428571428571
"ENSG00000123095",0.821428571428571
"ENSG00000135253",0.821428571428571
"ENSG00000137460",0.821428571428571
"ENSG00000137691",0.821428571428571
"ENSG00000144908",0.821428571428571
"ENSG00000145431",0.821428571428571
"ENSG00000147394",0.821428571428571
"ENSG00000148426",0.821428571428571
"ENSG00000152207",0.821428571428571
"ENSG00000152580",0.821428571428571
"ENSG00000154252",0.821428571428571
"ENSG00000158428",0.821428571428571
"ENSG00000159714",0.821428571428571
"ENSG00000162745",0.821428571428571
"ENSG00000163563",0.821428571428571
"ENSG00000164556",0.821428571428571
"ENSG00000164741",0.821428571428571
"ENSG00000165646",0.821428571428571
"ENSG00000167566",0.821428571428571
"ENSG00000169247",0.821428571428571
"ENSG00000169752",0.821428571428571
"ENSG00000172236",0.821428571428571
"ENSG00000172243",0.821428571428571
"ENSG00000172296",0.821428571428571
"ENSG00000174776",0.821428571428571
"ENSG00000175262",0.821428571428571
"ENSG00000175344",0.821428571428571
"ENSG00000179058",0.821428571428571
"ENSG00000183242",0.821428571428571
"ENSG00000183773",0.821428571428571
"ENSG00000187037",0.821428571428571
"ENSG00000187624",0.821428571428571
"ENSG00000188483",0.821428571428571
"ENSG00000188825",0.821428571428571
"ENSG00000197766",0.821428571428571
"ENSG00000203411",0.821428571428571
"ENSG00000203710",0.821428571428571
"ENSG00000205209",0.821428571428571
"ENSG00000222035",0.821428571428571
"ENSG00000223930",0.821428571428571
"ENSG00000225684",0.821428571428571
"ENSG00000229196",0.821428571428571
"ENSG00000230701",0.821428571428571
"ENSG00000231533",0.821428571428571
"ENSG00000231544",0.821428571428571
"ENSG00000231646",0.821428571428571
"ENSG00000235036",0.821428571428571
"ENSG00000235726",0.821428571428571
"ENSG00000238090",0.821428571428571
"ENSG00000241458",0.821428571428571
"ENSG00000241525",0.821428571428571
"ENSG00000241769",0.821428571428571
"ENSG00000242290",0.821428571428571
"ENSG00000244040",0.821428571428571
"ENSG00000248890",0.821428571428571
