"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000309758.6",485.983603806418,-5.95833398846789,1.16431886057826,-5.11744178524143,3.09707608224346e-07,7.51044628181667e-05
"ENST00000299847.7",182.497270738794,-9.42408771031527,1.84780917754718,-5.10014119684426,3.394001967309e-07,8.21099153669377e-05
"ENST00000223095.5",1148.31864297742,-4.71197803195022,0.928964411887718,-5.07229122198036,3.93054258134357e-07,9.48654571529808e-05
"ENST00000377242.7",77.3206037004656,-9.40343252008852,1.85625825467593,-5.06579970561811,4.06689363688394e-07,9.79248519033944e-05
"ENST00000391770.9",8709.45254162097,-3.21745886459794,0.642522478047094,-5.00754288686864,5.5129270471938e-07,0.000132430884948037
"ENST00000287590.6",235.207009319784,-4.86693129629511,0.97331367744817,-5.00037285929774,5.72195502202595e-07,0.000137129472784905
"ENST00000517894.6",66.7106351697391,-9.18936636674892,1.83992943803314,-4.99441238169015,5.90151762287707e-07,0.000141101554724213
"ENST00000532739.1",142.930852578553,-10.7995140037123,2.20312224218786,-4.90191320159681,9.49077719659482e-07,0.000226388298208401
"ENST00000262407.6",509.863025653462,-7.68761547646718,1.57740024398848,-4.87359850853639,1.09583585802762e-06,0.000260785944647119
"ENST00000686011.1",194.492159100275,-10.7331463691481,2.22316089615428,-4.82787655527533,1.37996586622923e-06,0.000327639198095211
"ENST00000367460.4",280.340250332536,-7.00321088274767,1.45423319427667,-4.81574132010586,1.46654408150014e-06,0.000347387203973536
"ENST00000498907.3",1488.5195473457,-4.4449130860048,0.923331989184588,-4.81399229970381,1.47944510559189e-06,0.000349631919363873
